,beer_kor_name,beer_eng_name,class,country,description,score,aroma,appearance,flavor,mouthfeel,type
60,블루문,Blue Moon Belgian White,Witbier / Belgian White Ale,US,"""벨기에인 화이트 에일"" (북미) / ""북미 크래프트 맥주"" (영국)



크림맛을 위해 귀리로 양조하고 오렌지 껍질과 고수의 완벽한 조화로 양념합니다.



여과되지 않은 밀 에일은 벨기에 전통에서 독특한 부드러운 맛을 위해 맛을 냈습니다.



1995년 세계맥주선수권대회 금메달리스트(백맥주), 1996년과 1997년 세계맥주선수권대회 은메달리스트(백맥주). 12온스 1인분에 171칼로리, 5.4% abv입니다.

편집자 참고 사항: 현재 이 맥주의 대부분은 토론토의 몰슨 양조장에서 생산됩니다. 덴버 가뭄 생산량의 작은 부분은 SandLot 양조장에서 나옵니다. 다른 제품은 2008년 7월 19일 골든에서 계속 나올 수 있습니다.",3.015443252,3.348600509,6.073791349,3.127226463,12.0610687,"에일, 벨기에 에일"
61,아사히 슈퍼 드라이,Asahi Super Dry,Pale Lager - International / Premium,JP,"아사히 슈퍼 드라이는 변화하는 일본 식단과 잘 어울리는 맥주가 적은 맥주와 상대적으로 높은 알코올 함량 그리고 가벼운 뒷맛이 더 맛있는 맥주에 대한 소비자 선호도를 나타내는 광범위한 시장 조사의 직접적인 결과였습니다. 이러한 통찰력으로 아사히는 양조 지식을 사용하여 이 요구 조건을 만족시키기 위해 바삭바삭한 한 입, 상쾌한 맛, 그리고 투명한 마감을 가진 맥주를 개발했습니다. 코드명 FX인 아사히는 고감쇠, 고탄산 필스너를 개발했습니다. 나중에 이름이 바뀐 제품인 슈퍼 드라이는 1987년 3월 17일에 판매를 시작했고 드라이 맥주 카테고리를 탄생시켰습니다. 시장의 성공은 유사한 경쟁 제품들을 낳았고 일본에서 ""드라이 워즈""로 알려진 것과 국제적으로 드라이 맥주의 짧은 마케팅 열풍을 촉발시켰습니다. 그러나 아사히는 오랜 세월의 시련을 견뎌냈고 몇 년이 지난 지금 슈퍼 드라이는 세계 최고의 드라이 맥주로 그 유산을 이어가고 있습니다.



특수 이스트 - 아사히 # 318은 슈퍼 드라이의 ""건조함""을 주기 위해 사용되는 독점 성분입니다. 이 특별한 효모 가닥은 선택된 곡물과 함께 발효되는 동안 높은 감쇠를 생성합니다.



가장 좋은 재료요? 아사히는 엄격한 기준에 따라 전 세계에서 공급된 엄선된 곡물과 홉을 사용하여 맛의 일관성을 유지하고 지속 가능성을 높입니다. 겨우 높은 녹말 함량과 고상한 스타일의 쓴맛과 고운 아로마 홉이 슈퍼 드라이의 부드러운 맛의 주요 원인입니다.



ABV 4.9~5%(패키지 유형 및 위치에 따라 다름)

IBU 20입니다.

SRM 4입니다.",2.201186357,2.798578199,4.646919431,2.601895735,9.182464455,라거
62,아사히 드라이 블랙,Asahi Super Dry Black,Dark Lager - International / Premium,JP,,2.715966387,3.307692308,5.145299145,2.700854701,10.53846154,"라거, 흑맥주"
63,아사히 프라임 리치,Asahi Clear Prime Rich,Pale Lager - International / Premium,JP,"맑고 풍부한 맛의 최고 품질입니다. 순수 배양 효모와 고급 양조 기술을 사용하여 양질의 재료로 양조합니다.



재료: 보리 맥아, 홉, 보리, 옥수수, 녹말",2.396296296,2.807692308,4.846153846,2.538461538,9.230769231,라거
64,애플 폭스,Apple Fox,Apple Cider,MY,"지금까지 본 사과 중 가장 육즙이 많은 사과에 유혹되어, 여우는 최고의 과수원에서 사과를 땄습니다. 뉴질랜드의 사이다 제조업체에 의해 만들어진 이 사이다는 바삭하고 상쾌한 맛으로 모든 사이다를 지배합니다. 그러니 계속해서 여러분의 여정에 작은 마법을 보태세요.",2.5,2.8,5,2.6,9.6,과일
65,에델바이스 스노우프레쉬,Edelweiss Weissbier Snowfresh,Weissbier - Hefeweizen,AT,허브향,3.246175637,3.331428571,6.482857143,3.205714286,13.07714286,밀맥주
66,에딩거 바이스비어,Erdinger Weissbier,Weissbier - Hefeweizen,DE,"이 고전적인 밀맥주의 강점은 다양한 향기 사이에서 조화로운 균형을 이루는 데 있습니다. 부드럽게 매운 밀과 이스트 향이 약간 쓴 홉과 섞입니다. 활력을 주는 이산화탄소는 그것의 전형적인 생기를 보장합니다. 몸매가 풍성하면서도 우아한 품격을 지닌 최고급 맥주입니다. 정말 독특한 밀맥주입니다!



Erdinger Weibrbrau는 샴페인처럼 전통적인 방식으로 병 안에서 숙성되도록 합니다. 에르딩 사의 이 밀 맥주는 단순히 반짝이는 상쾌함 그 이상을 제공합니다. 바바리아의 진정한 맛을 느낄 수 있습니다.",3.160859896,3.631840796,6.248756219,3.286069652,12.81343284,밀맥주
67,예비스,Sapporo Yebisu,Pale Lager - International / Premium,JP,에비스 맥주는 100% 파인 맥아를 양조하여 삿포로의 전통 예술이 가미된 고급 맥주,2.500569801,2.841954023,4.979885057,2.646551724,9.841954023,라거
68,이슬 톡톡,Isul Tok Tok,Radler / Shandy,KR,Can: Filtered,2.125,0,0,0,0,과일
69,하이트 스타우트,Hite Black Beer Stout,Schwarzbier / Black Lager,KR ,독일산 진한 구운 맥아의 라거 타입 흑맥주,2.407978723,2.824468085,4.696808511,2.388297872,9.037234043,"라거, 흑맥주"
70,예거 라들러 레몬,Egger Naturtruber Zitronenradler,Radler / Shandy,AT,덴마크 네토에서 에거 레몬 래들러로 판매,2.08125,2.382978723,4.021276596,2.276595745,7.638297872,과일
71,예거 라들러 자몽,Egger Grapefruit Radler,Radler / Shandy,AT,이글거 포도 과일 자전거는 더운 날에만 2.5% vol로 상쾌함을 느낀다. 포도주를 한 잔 마시고 최고의 맥주를 찾는 사람에겐 5%의 쥬스가 들어있습니다.,2.410416667,2.6875,4.708333333,2.520833333,8.895833333,과일
72,제주 백록담,Jeju Baengnokdam Ale,Witbier / Belgian White Ale,KR,"백록담은 제주도에서 가장 맑은 물로 우려낸 화이트 에일입니다. 제주의 효모와 오렌지가 특징인, 그것은 가볍고 감귤 맛을 냅니다.



재료: 물, 보리 맥아, 밀 맥아, 오렌지 제스트, 고수씨, 한라봉, 홉, 이스트입니다.",2.9,2.571428571,6.142857143,2.428571429,11.85714286,"밀맥주, 벨기에 에일"
73,제주 성산일출봉,Jeju Seongsan Ilchulbong Ale,Blonde Ale / Golden Ale,KR,"이것은 한국 제주도에 있는 성산일출봉의 황금빛 광선을 그린 골든 에일입니다.



제주도의 맑은 물, 보리, 홉으로 양조된 이 고급 맥주는 신선하고 풍부한 맛으로 모든 사람들에게 사랑 받고 있습니다.",2.9,3,5.5,2.5,12.5,에일
74,제주 위트 에일,Jeju Wit Ale,Witbier / Belgian White Ale,KR ,브루클린 맥주와 제휴,2.752631579,3.235294118,5.941176471,3.176470588,12.11764706,"밀맥주, 벨기에 에일"
75,제주 펠롱 에일,Jeju Pellong Ale,Pale Ale,KR ,,2.98,3.333333333,6,3,12.33333333,에일
76,카스 라이트,Cass Light,Pale Lager - American,KR,,1.745454545,2.71875,3.1875,2.125,6.03125,라거
77,카스 프레쉬,Cass Fresh,Pale Lager - International / Premium,KR,Cass는 1994년에 출시되었으며 차별화된 맥주 맛을 찾는 주류 맥주를 마시는 사람들을 위해 양조되었습니다. 카스는 가장 유명한 라거 맥주입니다. Cass는 신선함(100% 살균되지 않은 양조 과정)과 톡 쏘고 바삭바삭하며 반짝이는 맛을 강조하여 젊고 생생하고 활동적이며 현대적이고 반항적인 소비자들에게 상쾌함과 활력을 제공,1.781081081,2.29209622,3.360824742,2.024054983,6.443298969,라거
78,칼스버그,Carlsberg Pilsner,Pilsener / Pils / Pilsner,DK ,"Danish: Carlsberg는 실제로 덴마크 문화 유산과 덴마크의 갈증의 일부가 되었습니다.


쌉싸름한 사과와 달콤한 사과의 조화로운 균형을 느끼며, 아름다운 거품과 함께 밝은 황금색과 소나무, 스트라, 헤이즐넛, 삼림산의 향을 즐길 수 있습니다. 예, 덴마크의 봄날과 거의 같습니다. 그래서 Carlsberg는 덴마크 요리를 다양하게 선보입니다.

이전에는 영국에서 Carlsberg Export로 금색 라벨/캔으로 판매되었습니다. 현재 UK Carlsberg Export는 표준 Carlsberg Export와 동일합니다",2.262831359,2.894988067,4.479713604,2.503579952,8.885441527,필스너
79,코로나,Corona Extra,Pale Lager - American,MX ,코로나 엑스트라 맥주는 멕시코에서 가장 많이 팔리는 맥주이며 멕시코에서 가장 많이 팔리는 수출 브랜드입니다. 이 필세너 타입의 맥주는 1925년 멕시코 시티에 위치한 세르베세리아 모델로에 의해 처음 양조되었습니다.,1.793970588,2.604712042,4.104712042,2.335078534,7.960732984,라거
80,코로나 라이트,Corona Light,Pale Lager - American,MX,"99 칼로리입니다.

코로나 라이트는 동일한 상큼한 맛의 코로나 엑스트라보다 칼로리가 약 30% 낮으며 최고 품질의 성분으로 양조됩니다.",1.399806576,2.153153153,2.952702703,1.894144144,5.40990991,라거
81,코젤 다크,Kozel ?erny (Dark) 10°,Dark Lager - Dunkel / Tmavy,CZ,밀로 만든 달콤한 흑맥주,2.999630656,3.412587413,5.666666667,2.96969697,11.47785548,"라거, 흑맥주"
82,코젤 라거,Kozel Premium Lager 12°,Pilsener - Bohemian / Czech,CZ,"부드러운 쓴맛과 부드러운 맥아, 향기를 뿜어내며 반짝입니다. 이 맥주가 많이 든 맥주는 국내와 해외 모두에서 훌륭한 라거로 여겨집니다.
이 맥주는 체코 플젠의 ""플젠스키 프라즈드로이 (SABMiller)""에서 양조됩니다.",2.892371706,3.110344828,5.487356322,2.91954023,10.99310345,필스너
83,퀸즈 에일 블론드,Queen's Ale Blonde Type,Pale Ale - English,KR,"3중 호핑 공정에 의해 만들어진 잘 균형 잡힌 홉 쓴맛과 과일, 꽃, 감귤류 같은 호피 맛입니다.",3.0375,3.375,5.875,3.25,11.5,에일
84,퀸즈 에일 엑스트라 비터,Queen's Ale Extra Bitter Type,Bitter - Premium / Strong / Extra Special (ESB),KR,보다 강렬하고 깊은 취향을 가진 에일,2.883333333,3.416666667,5.5,3.25,11,"에일, 기타"
85,클라우드,Kloud Original Gravity,Pale Lager - International / Premium,KR ,"""100% 몰트 리얼 맥주입니다. 오리지널 그라비티입니다. 풍부하고 부드럽습니다.
크라우드는 유럽산 홉과 독일산 효모를 사용한 최고급 맥주입니다.",2.371296296,2.903846154,4.461538462,2.576923077,8.817307692,라거
86,타이거,Tiger Beer,Pale Lager - International / Premium,SG,"1932년 싱가포르에서 태어나서 출시된 타이거 맥주는 아시아, 유럽, 미국, 라틴 아메리카, 호주, 중동의 50개 이상의 국가에서 즐겨 마십니다. 세계 최고의 현대 맥주 브랜드 중 하나인 타이거 맥주는 500시간이 넘는 엄격한 양조 과정을 거치고 호주와 유럽의 최고급 재료만을 사용합니다. 이 맥주는 또한 40개가 넘는 국제적인 영예와 상을 받았습니다.",2.164350282,2.690866511,4.25058548,2.414519906,8.466042155,라거
87,타이거 라들러 레몬,Tiger Radler Lemon,Radler / Shandy,SG,"Tiger Radler는 감귤 같은 천연 레몬 주스를 한 입 베어 물린 맛있는 갈증 해소제이며, 바비큐, 오후 음료, 그리고 훌륭한 친구들과의 길거리 음식과 어울리는 맛입니다. 싱가포르와 아시아에서 처음으로, 타이거 래들러는 열대 기후에서 최대의 즐거움을 위해 두 가지 다과를 제공합니다.",2.045454545,2.454545455,4.136363636,2.409090909,7.681818182,과일
88,테라,Terra,Pale Lager - International / Premium,KR,호주 골든 트라이앵글 몰트 프리미엄 품질 TERRA From AGT. 순수 AGT 몰트로 만든 100% 리얼 탄산 맥주입니다.,1.788888889,2.461538462,3.692307692,1.923076923,7.384615385,라거
89,칭따오,Tsingtao,Pale Lager - International / Premium,CN,"칭다오 맥주는 향기가 좋고, 맛의 균형이 잘 잡혀 있습니다. 그것은 고농도의 맛과 잘 다듬어진 특징을 가지고 있습니다.

칭타오는 물의 순도로 유명한 중국 전역의 산악 지역인 라오산의 샘물로 생산됩니다. 칭다오를 끓이는 데 사용되는 국내산 홉은 매우 품질이 좋아서 유럽 양조장으로도 수출됩니다. 칭타오는 또한 호주와 캐나다에서 수입된 최고급 효모와 보리를 양조 공정에 사용합니다.







참고: 이 항목에서는 내보낸 칭타오를 ABV와 완전히 일치하는 로컬 칭타오와 대략 일치하는 등급으로만 평가하십시오. 어떤 식으로든 다르고 양조업체의 다른 항목과 일치하지 않는 경우 알코올 도수, 도수 플라톤(중요!), GTIN 및 가급적이면 전면 및 후면 라벨 사진에 대한 링크를 첨부하여 항목을 설정할 수 있도록 요청하십시오.",2.059072848,2.590047393,4.161137441,2.40521327,8.225118483,라거
90,칭따오 위트,Tsingtao Wheat Beer,Weissbier - Hefeweizen,CN,"칭다오 밀맥주요

100% 맥아로 양조하여 부드럽고 담백한 풍미와 우아한 플로럴 마무리로 완성되었습니다. 칭다오 맥주(주)에서 양조 및 병에 담았습니다. 중국 칭다오입니다.",2.790909091,3.0625,5.5625,2.59375,11.15625,밀맥주
91,칭따오 퓨어 드래프트,Tsingtao Draft Beer 11º (Pure Draft Beer),Pale Lager - International / Premium,CN,"칭다오 퓨어 드래프트는 부드럽고 바삭바삭하며 맛이 가벼운 생맥주입니다. 그것은 중국 라오산 산맥에서 생산된 국내산 홉, 엄선된 보리, 천연 효모, 그리고 순수한 샘물로 양조됩니다. 칭다오 퓨어 드래프트는 맥주의 진정한 맛을 보존하는 저온 여과 공정으로 양조되어 믿을 수 없을 정도로 상쾌한 맥주 마시는 경험을 제공합니다. 범아시아 요리와 가벼운 애피타이저에 더할 나위 없이 좋은 제품입니다.







체적 기준 알코올 4.3%, 무게 기준 알코올 3.38%, 11.2온스 병당 132칼로리입니다.",1.921495327,2.198113208,3.764150943,2.235849057,7.679245283,라거
92,파울라너 오리지널 뮌헨,Paulaner Original Munchner Hell (Premium Lager),Helles / Dortmunder Export,DE,"원조 Munchner가 19세기 말에 처음으로 양조되었을 때, 그것은 눈부신 성공이었습니다. 호피 맛, 은은하고 가볍고 우아한 맛으로, 그것은 항상 인기가 있습니다. 오늘날 폴라네르 오리지널 문치너 맥주는 세계에서 가장 잘 팔리는 문치너 헬비어 맥주이고 폴라네르 맥주는 놀라울 정도로 은은하고 맵고 자연스레 푸짐한 맛이 나는 30여 개국에서 수출 1위 맥주입니다.",3.041020266,3.326190476,6.04047619,3.142857143,12.17380952,"라거, 기타"
93,파울라너 옥토버페스트 맥주,Paulaner Oktoberfest Bier (Wiesn Bier),Marzen / Oktoberfest Bier,DE,"이 제품은 미국에서도 판매되는 옥토버페스트 마젠이 아닙니다.





또한 1L 캔에 Paulaner Wiesn Bier로 판매됩니다.",3.13150392,3.366197183,6.136150235,3.251173709,12.36384977,"라거, 기타"
94,파울라너 살베이터,Paulaner Salvator,Bock - Doppelbock,DE,"강한 맛이 나는 Paulaner Salvator는 원래 Paulaner입니다. 바닥 발효 도플복 비어는 최고급 홉과 진한 보리 맥아를 결합합니다. 폴라네르 수도사들은 사순절에 음식을 대신해서 살바토르를 대접했습니다. 그들의 가장 유명한 양조장은 1773년부터 폴라네르 수도원 양조장의 대표였던 브라더 바나바스였습니다. 그것의 원래 요리법은 오늘날 바나바스의 시대와 거의 같습니다. 원래의 조리법을 보호하기 위해, 폴라너는 1896년에 ""살바토르""라는 상표권을 특허 받았습니다.







원본 wort 18,3%입니다.



알코올 7,9%입니다.



칼로리 68,0 kcal/100 m입니다.
",3.590732967,3.692671395,7.132387707,3.63356974,14.62411348,"라거, 기타"
95,파울라너 헤페 바이스비어,Paulaner Hefe-Weissbier,Weissbier - Hefeweizen,DE,"여과되지 않은 병과 캔입니다.



""Naturtrub""입니다.



재료는 다음과 같습니다. 물, 맥아 밀, 맥아 보리, 누룩, 홉입니다",3.603168713,3.974293059,7.143958869,3.63496144,14.50899743,밀맥주
96,파타고니아,Patagonia,Pale Lager - International / Premium,AR,캐나다 수출용,1.775714286,2.101449275,3.47826087,1.869565217,6.376811594,라거
97,파타고니아 앰버 라거,Patagonia Amber Lager,Amber Lager - International / Vienna,AR,"독특하고 아이덴티티가 있는 맥주입니다. 파타고니아의 홉과 고운 망아지의 혼합은 맛, 섬세한 향, 호박색에서 잘 인식됩니다.",2.917171717,3.29787234,5.744680851,2.840425532,11.27659574,라거
98,파타고니아 바이스,Patagonia Weisse,Witbier / Belgian White Ale,AR,,2.825454545,3.245283019,5.716981132,2.924528302,11.11320755,라거
99,파타고니아 보헤미안 필스너,Patagonia Bohemian Pilsener,Pilsener / Pils / Pilsner,AR,선택된 몰타와 파타고니아 루프의 조합은 훌륭한 몸매와 쓰라린 균형을 가진 맥주를 생산한다.,2.923076923,3.202702703,5.648648649,2.932432432,11.21621622,"밀맥주, 벨기에 에일"
100,페로니,Peroni,Pale Lager - International / Premium,IT,"재료는 다음과 같습니다. 물, 보리 맥아, 옥수수 갈이, 깡총깡총, 깡총깡총 추출물입니다.

이태리산 라거요 페로니는 이탈리아 최고의 라거 브랜드이고 1세기 반 이상 지속되어 왔습니다. 4.7 ABV의 이 고급스럽고, 맑은 황금빛 맥주 라거는, 가장 자격 있는 브라우미스터 세대들의 양조에 대한 헌신적인 노력의 결과입니다.


최고급 봄 보리 망아지와 홉을 사용하여 우려낸 맛은 약간 쌉니다. 상쾌한 부드러운 라거인 페로니는 모든 경우에 적합합니다.
10.65°",2.169716776,2.727688787,4.375286041,2.487414188,8.556064073,라거
101,필굿,Happoshu Filgood,Pale Lager - American,KR,필굿입니다. 독특한 향기로운 홉의 시원한 상쾌한 맛입니다.,1.166666667,1,2,1.333333333,5.333333333,라거
102,필라이트,FiLite,Pale Lager - International / Premium,KR,100% 아로마 홉을 사용하여 완벽한 보리 맛을 낼 수 있습니다.,2.388888889,2.555555556,4.555555556,2.777777778,10,라거
103,필라이트 후레쉬,Filite Fresh Cool & Clear,Pale Lager - International / Premium,KR,필라이트 프레쉬 & 쿨,1.366666667,0,0,0,0,라거
104,필라이트 바이젠,Filite Weizen,Witbier / Belgian White Ale,KR,필라이트 소프트 바이젠,1.6,0,0,0,0,"밀맥주, 벨기에 에일"
105,필스너 우르켈,Pilsner Urquell,Pilsener - Bohemian / Czech,CZ,"그것은 맥주들 사이에서 ""계량기 모델""이라고 불립니다. 다른 필스너들은 모두 원본을 베끼려는 더 좋거나 더 나쁜 시도입니다 - 최초의 필스너 우르켈입니다. 그것의 비할 데 없는 예외성은 1842년의 동일한 요리법에 의해 보장됩니다.",3.294063294,3.676923077,6.679487179,3.482051282,13.55897436,필스너
106,핏츠,Fitz Super Clear,Pale Lager - American,KR,,1.862962963,0,0,0,0,라거
107,하얼빈,Harbin Beer,Pale Lager - International / Premium,CN,"재료는 다음과 같습니다. 두 줄 맥아, 유럽과 중국의 ""친다오 다후아"" 홉, 쌀, 그리고 독일 효모입니다.



하얼빈 맥주는 1900년에 양조된 최초의 중국 맥주입니다. 중국 전통문화인 하얼빈 맥주는 100년 동안 이어져 온 순수한 맛을 선사합니다.

중국 최북단 헬롱장성의 전통과 문화에 영감을 받았습니다.



참고: 이 항목에서는 수출된 하얼빈과 ABV와 완전히 일치하는 지역 하얼빈만 평가하십시오. 어떤 식으로든 다르고 양조업체의 다른 항목과 일치하지 않는 경우 알코올 도수, 도수 플라톤(중요!), GTIN 및 가급적이면 전면 및 후면 라벨 사진에 대한 링크를 첨부하여 항목을 설정할 수 있도록 요청하십시오.",1.983283582,2.424698795,3.906626506,2.274096386,7.677710843,라거
108,하이네켄,Heineken,Pale Lager - International / Premium,NL,"100% 보리 맥아, 엄선된 홉 및 순수한 물은 이 양조주에게 타의 추종을 불허하는 선명함을 선사합니다.",2.167871581,2.886597938,4.518041237,2.551546392,9.095360825,라거
109,하이네켄 논알코올,Heineken 0.0,Low / No Alcohol Beer - Pale,NL ,"우리의 마스터 브루어들은 좋은 맛의 0.0 맥주를 만들기 위해 오랜 시간 동안 양조하고 맛을 보았고, 상쾌하고 과일 맛과 부드러운 몰티 바디가 결합된 무알코올 맥주입니다. 기대하는 품질로 양조한 0.0 맥주 1873년부터 우리의 기대: 천연 재료와 하이네켄의 독특한 A 효모 덕분에 상쾌한 맛.",2.065286624,2.695205479,4.054794521,2.157534247,8.017123288,무알코올
110,하이네켄 다크라거,Heineken Dark Lager,Dark Lager - International / Premium,NL,,2.672616984,3.136160714,5.247767857,2.752232143,10.68526786,"라거, 흑맥주"
111,하이트,Hite Beer,Pale Lager - International / Premium,KR,"ABV는 약 4.5% ABV로 변할 수 있습니다.

하이트맥주의 한국맥주병 판매 1위입니다. 서울. 푸어스트 지하수, 캐나다 해링턴 보리, 팔 아로마, 야키마 홉, 효모, 무첨가물, 방부제입니다.",1.886149936,2.475225225,3.759009009,2.184684685,7.153153153,라거
112,하이트 엑스트라 콜드,Hite Extra Cold,Pale Lager - International / Premium,KR,,2.158333333,2.681818182,4.181818182,2.522727273,8.090909091,라거
113,하이트 제로,Hite Zero,Low / No Alcohol Beer - Pale,KR,,1.941666667,2.416666667,3.25,1.916666667,8.25,무알코올
114,호가든,Hoegaarden,Wheat Ale,KR,청포도를 넣은 오비컴퍼니,3.521142981,3.679197995,6.817042607,3.43358396,13.85463659,밀맥주
115,호가든 로제,Hoegaarden Rosee,Flavored - Fruit,BE,"잼 단지에 대한 이야기는 우리에게 아이디어를 주었습니다. 호고든 로제입니다. 분홍색일 수도 있지만 밀맥주입니다. 그것은 또한 산딸기의 부드러운 맛과 은은한 색을 특징으로 합니다. 그리고 알코올 도수가 높지는 않지만, 그것은 여러분이 햇빛 아래에서 그것을 훨씬 더 즐길 수 있다는 것을 의미합니다.


재료: 물, 보리 맥아, 손상되지 않은 밀, 과일 (10%), 산딸기 (6%), 설탕, 감미료, 홉, 이스트입니다",2.541638225,3,4.892376682,2.647982063,9.755605381,과일
116,홉 하우스 13,Hop House 13 Lager,Pale Lager - International / Premium,IE,"1900년대 초반 홉이 아직도 보관되어 있는 세인트 제임스 게이트의 홉 상점에서 이름을 따온 홉 하우스 13은 아일랜드 보리와 향기로운 홉으로 만든 더블 홉 라거로, 세인트 제임스 게이트에서 256년의 유산과 양조 우수성을 이어가고 있습니다.

은은한 맛의 맥아 향과 살구나 복숭아 향이 가미된 신선한 홉 향의 바삭하고 풍성한 라거입니다.",2.933001988,3.266990291,5.786407767,2.958737864,11.50485437,라거
117,홉탄두 IPA,Kabrew Hoptandu IPA,IPA,KR,"풍부한 양의 홉은 풍부한 향과 쓴맛을 만들어 유럽 맥주 스타에 의해 인식됩니다.



사양: ABV 6.3% / IBU 75 / SRM 8입니다.



음식 페어링: 네요. 치즈버거, 맥앤치즈, 타코요



수상: 2017 유럽 맥주 스타 전통 IPA 금메달 및 3개 추가",3.45,4,6,4.5,13.5,IPA
